epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,9432.72,0.49627,0.7234,1.03947,0.64238,0.5533,0.45172,0.38256,0.54278,2.22091,1.07918,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
53,9610.97,0.49974,0.69817,1.03054,0.62808,0.53794,0.46288,0.39471,0.57126,2.18776,1.12762,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
54,9789.71,0.50931,0.72128,1.05596,0.54019,0.53081,0.45638,0.37846,0.57775,2.22275,1.11916,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104
55,9969.76,0.49574,0.71389,1.0339,0.55162,0.51724,0.45932,0.39163,0.57599,2.20997,1.12058,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
56,10148.1,0.50989,0.71421,1.04616,0.58635,0.53044,0.44675,0.37586,0.58492,2.28609,1.13314,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599
57,10339.5,0.48037,0.68978,1.02805,0.5677,0.53448,0.47329,0.39719,0.57361,2.24373,1.10833,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
58,10522.8,0.46977,0.6715,1.01925,0.48302,0.52299,0.46535,0.38684,0.57115,2.23893,1.13317,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093
59,10702.4,0.46579,0.68291,1.02064,0.51613,0.54634,0.48617,0.39633,0.5681,2.21212,1.1309,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934,0.00260802,0.00086934
60,10875.9,0.48284,0.7073,1.03224,0.62638,0.49917,0.47081,0.38503,0.58311,2.21582,1.14074,0.00256676,0.000855588,0.00256676,0.000855588,0.00256676,0.000855588,0.00256676,0.000855588
61,11055.2,0.51956,0.73937,1.04992,0.59982,0.54506,0.46045,0.37191,0.56225,2.21137,1.12585,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
62,11235.1,0.48748,0.66913,1.02859,0.59825,0.5977,0.47655,0.39658,0.54708,2.14791,1.12201,0.00248425,0.000828082,0.00248425,0.000828082,0.00248425,0.000828082,0.00248425,0.000828082
